"Customer_id","monetary_value","frequency","recency","RFMClass"
"131","1530","4.0","3","5"
"112","1531","11.0","6","5"
"333","1532","85.0","2","5"
"332","1533","57.0","2","5"
"111","1534","1.0","6","5"
"444","1535","218.0","1","2"
"243","1536","18.0","1","5"
"211","1537","19.0","16","5"
"233","1538","50.0","2","5"
"112","1539","7.0","7","5"
"433","1540","299.0","2","5"
"111","1541","10.0","6","5"
"212","1542","22.0","6","5"
"344","1543","99.0","1","5"
"334","1544","143.0","2","5"
"444","1545","306.0","1","5"
"441","1546","320.0","1","5"
"121","1547","8.0","5","5"
"112","1548","1.0","10","5"
"122","1549","2.0","5","5"
"312","1550","54.0","7","5"
"122","1551","1.0","4","5"
"222","1552","19.0","5","5"
"133","1553","9.0","2","5"
"222","1554","19.0","4","5"
"433","1555","181.0","3","5"
"332","1556","60.0","2","5"
"134","1557","11.0","2","5"
"444","1558","190.0","1","5"
"111","1559","5.0","14","5"
"444","1560","311.0","1","5"
"441","1561","155.0","1","5"
"323","1562","110.0","4","5"
"431","1563","148.0","3","5"
"311","1564","64.0","15","5"
"333","1565","98.0","3","5"
"432","1566","247.0","3","5"
"211","1567","29.0","7","5"
"223","1568","18.0","4","5"
"133","1569","12.0","2","5"
"311","1570","104.0","8","5"
"334","1571","74.0","2","5"
"233","1572","43.0","2","5"
"312","1573","72.0","6","5"
"444","1574","257.0","1","5"
"222","1575","20.0","5","5"
"433","1576","254.0","2","5"
"144","1577","11.0","1","5"
"433","1578","165.0","2","5"
"211","1579","18.0","6","5"
"434","1580","150.0","2","5"
"243","1581","50.0","1","5"
"244","1582","39.0","1","5"
"212","1583","27.0","7","5"
"332","1584","51.0","2","5"
"443","1585","207.0","1","5"
"433","1586","175.0","2","5"
"111","1587","7.0","7","5"
"244","1588","26.0","1","5"
"334","1589","51.0","2","5"
"433","1590","312.0","2","5"
"433","1591","301.0","2","5"
"221","1592","43.0","5","5"
"232","1593","26.0","3","5"
"333","1594","88.0","3","5"
"334","1595","64.0","3","5"
"211","1596","20.0","14","5"
"111","1597","3.0","6","5"
"222","1598","47.0","4","5"
"111","1599","17.0","11","5"
"121","1600","17.0","5","5"
"212","1601","24.0","7","5"
"234","1602","22.0","2","5"
"112","1603","11.0","6","5"
"434","1604","188.0","2","5"
